asn=0    	id=-1  	Main	copying configuration file /home/bae/Documents/tsch-sim/examples/star/config.json to output directory /home/bae/Documents/tsch-sim/results/2021-05-16_21-31-40/config.json
asn=1    	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=1    	id=2   	Node	add neighbor id=1
asn=1    	id=2   	TSCH	joined/associated at 0.017 on receiving an EB packet from 1
asn=1    	id=2   	TSCH	Orchestra: new time source 1
asn=1    	id=2   	TSCH	Orchestra: storing mode: add uc cell to 1, timeslot=1
asn=1    	id=2   	RPL	DIS output to -1
asn=1    	id=3   	Node	add neighbor id=1
asn=1    	id=3   	TSCH	joined/associated at 0.017 on receiving an EB packet from 1
asn=1    	id=3   	TSCH	Orchestra: new time source 1
asn=1    	id=3   	TSCH	Orchestra: storing mode: add uc cell to 1, timeslot=1
asn=1    	id=3   	RPL	DIS output to -1
asn=31   	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 1
asn=31   	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=31   	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 1
asn=31   	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=184  	id=1   	RPL	DIO output to -1
asn=186  	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 1
asn=186  	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=186  	id=2   	RPL	DIO input from 1
asn=186  	id=2   	RPL	DIO output to 1
asn=186  	id=3   	RPL	DIO input from 1
asn=186  	id=3   	RPL	DIO output to 1
asn=188  	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=188  	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 1
asn=188  	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=188  	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 1
asn=188  	id=2   	Node	tx done to=1 numtx=1 acked=false
asn=188  	id=3   	Node	tx done to=1 numtx=1 acked=false
asn=222  	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=222  	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 1
asn=222  	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=222  	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 1
asn=222  	id=2   	Node	tx done to=1 numtx=2 acked=false
asn=222  	id=3   	Node	tx done to=1 numtx=2 acked=false
asn=273  	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=273  	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 1
asn=273  	id=1   	Node	add neighbor id=2
asn=273  	id=1   	RPL	DIO input from 2
asn=273  	id=2   	Node	tx done to=1 numtx=3 acked=true, remove packet
asn=273  	id=2   	RPL	DIO output to 1
asn=290  	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=290  	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 1
asn=290  	id=1   	RPL	DIO input from 2
asn=290  	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=290  	id=2   	RPL	parent switch: null -> 1
asn=290  	id=2   	Node	add the default route via 1
asn=324  	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=324  	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 1
asn=324  	id=1   	Node	add neighbor id=3
asn=324  	id=1   	RPL	DIO input from 3
asn=324  	id=3   	Node	tx done to=1 numtx=3 acked=true, remove packet
asn=324  	id=3   	RPL	DIO output to 1
asn=341  	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=341  	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 1
asn=341  	id=1   	RPL	DIO input from 3
asn=341  	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=341  	id=3   	RPL	parent switch: null -> 1
asn=341  	id=3   	Node	add the default route via 1
asn=461  	id=2   	RPL	DAO output
asn=477  	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=477  	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 1
asn=477  	id=1   	RPL	DAO input from 2
asn=477  	id=1   	Node	add route to 2 via 2
asn=477  	id=1   	TSCH	Orchestra: child added 2
asn=477  	id=1   	TSCH	Orchestra: storing mode: add uc cell to 2, timeslot=2
asn=477  	id=1   	RPL	DAO ACK output 241 0
asn=477  	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=477  	id=2   	TSCH	Orchestra: parent acked a DAO
asn=478  	id=3   	RPL	DAO output
asn=478  	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=478  	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=478  	id=2   	RPL	got DAO ACK seqno 241 (our 241), status 0
asn=478  	id=1   	Node	tx done to=2 numtx=1 acked=true, remove packet
asn=494  	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=494  	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 1
asn=494  	id=1   	RPL	DAO input from 3
asn=494  	id=1   	Node	add route to 3 via 3
asn=494  	id=1   	TSCH	Orchestra: child added 3
asn=494  	id=1   	TSCH	Orchestra: storing mode: add uc cell to 3, timeslot=3
asn=494  	id=1   	RPL	DAO ACK output 241 0
asn=494  	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=494  	id=3   	TSCH	Orchestra: parent acked a DAO
asn=496  	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=496  	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=496  	id=3   	RPL	got DAO ACK seqno 241 (our 241), status 0
asn=496  	id=1   	Node	tx done to=3 numtx=1 acked=true, remove packet
asn=740  	id=1   	RPL	DIO output to -1
asn=744  	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 2
asn=744  	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=744  	id=2   	RPL	DIO input from 1
asn=744  	id=3   	RPL	DIO input from 1
asn=1192 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 2
asn=1192 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=1589 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 3
asn=1589 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=1970 	id=1   	RPL	DIO output to -1
asn=1984 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 3
asn=1984 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=1984 	id=2   	RPL	DIO input from 1
asn=1984 	id=3   	RPL	DIO input from 1
asn=2383 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 4
asn=2383 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=2780 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 5
asn=2780 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=3522 	id=-1  	Main	60 seconds, progress 10.00%
asn=3522 	id=-1  	Main	periodic route processing for all nodes
asn=3522 	id=1   	TSCH	chloe stats: {"idle_listen":303,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":6,"tx_data":8,"tx_data_rx_ack":2}
asn=3522 	id=2   	TSCH	chloe stats: {"idle_listen":315,"channel_scan":1,"rx_data":4,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":5}
asn=3522 	id=3   	TSCH	chloe stats: {"idle_listen":315,"channel_scan":1,"rx_data":3,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":5}
asn=3574 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 6
asn=3574 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=4322 	id=1   	RPL	DIO output to -1
asn=4340 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 4
asn=4340 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=4340 	id=2   	RPL	DIO input from 1
asn=4340 	id=3   	RPL	DIO input from 1
asn=4368 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 7
asn=4368 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=5162 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 8
asn=5162 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=5956 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 9
asn=5956 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=6750 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 10
asn=6750 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=7043 	id=-1  	Main	120 seconds, progress 20.00%
asn=7043 	id=-1  	Main	periodic route processing for all nodes
asn=7043 	id=1   	TSCH	chloe stats: {"idle_listen":616,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":6,"tx_data":14,"tx_data_rx_ack":2}
asn=7043 	id=2   	TSCH	chloe stats: {"idle_listen":637,"channel_scan":1,"rx_data":5,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":5}
asn=7043 	id=3   	TSCH	chloe stats: {"idle_listen":638,"channel_scan":1,"rx_data":4,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":5}
asn=7332 	id=2   	App	generate a packet, seqnum=1 for=1
asn=7345 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=7345 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=7345 	id=1   	App	rx app packet seqnum=1 from=2
asn=7345 	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=7544 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 11
asn=7544 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=7862 	id=3   	Node	send keepalive packet to=1
asn=7872 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=7872 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 4
asn=7872 	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=8338 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 12
asn=8338 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=9132 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 13
asn=9132 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=10323	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 14
asn=10323	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=10564	id=-1  	Main	180 seconds, progress 30.00%
asn=10564	id=-1  	Main	periodic route processing for all nodes
asn=10564	id=1   	TSCH	chloe stats: {"idle_listen":926,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":8,"tx_data":18,"tx_data_rx_ack":2}
asn=10564	id=2   	TSCH	chloe stats: {"idle_listen":958,"channel_scan":1,"rx_data":5,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":6}
asn=10564	id=3   	TSCH	chloe stats: {"idle_listen":958,"channel_scan":1,"rx_data":4,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":6}
asn=10867	id=2   	Node	send keepalive packet to=1
asn=10881	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=10881	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=10881	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=10920	id=1   	RPL	DIO output to -1
asn=10943	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 5
asn=10943	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=10943	id=2   	RPL	DIO input from 1
asn=10943	id=3   	RPL	DIO input from 1
asn=11117	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 15
asn=11117	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=11668	id=3   	App	generate a packet, seqnum=1 for=1
asn=11680	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=11680	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=11680	id=1   	App	rx app packet seqnum=1 from=3
asn=11680	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=11911	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 16
asn=11911	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=14085	id=-1  	Main	240 seconds, progress 40.00%
asn=14085	id=-1  	Main	periodic route processing for all nodes
asn=14085	id=1   	TSCH	chloe stats: {"idle_listen":1237,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":10,"tx_data":21,"tx_data_rx_ack":2}
asn=14085	id=2   	TSCH	chloe stats: {"idle_listen":1279,"channel_scan":1,"rx_data":6,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":7}
asn=14085	id=3   	TSCH	chloe stats: {"idle_listen":1281,"channel_scan":1,"rx_data":5,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":7}
asn=14465	id=2   	Node	send keepalive packet to=1
asn=14468	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=14468	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 6
asn=14468	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=14690	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 17
asn=14690	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=14843	id=2   	App	generate a packet, seqnum=2 for=1
asn=14859	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=14859	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 6
asn=14859	id=1   	App	rx app packet seqnum=2 from=2
asn=14859	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=15202	id=3   	Node	send keepalive packet to=1
asn=15216	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=15216	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=15216	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=15484	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 18
asn=15484	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=16278	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 19
asn=16278	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=16735	id=3   	App	generate a packet, seqnum=2 for=1
asn=16746	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=16746	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=16746	id=1   	App	rx app packet seqnum=2 from=3
asn=16746	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=17072	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 20
asn=17072	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=17606	id=-1  	Main	300 seconds, progress 50.00%
asn=17606	id=-1  	Main	periodic route processing for all nodes
asn=17606	id=1   	TSCH	chloe stats: {"idle_listen":1547,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":14,"tx_data":25,"tx_data_rx_ack":2}
asn=17606	id=2   	TSCH	chloe stats: {"idle_listen":1600,"channel_scan":1,"rx_data":6,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":9}
asn=17606	id=3   	TSCH	chloe stats: {"idle_listen":1602,"channel_scan":1,"rx_data":5,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":9}
asn=17866	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 21
asn=17866	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=18381	id=2   	Node	send keepalive packet to=1
asn=18395	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=18395	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 6
asn=18395	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=18877	id=2   	App	generate a packet, seqnum=3 for=1
asn=18888	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=18888	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 6
asn=18888	id=1   	App	rx app packet seqnum=3 from=2
asn=18888	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=19057	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 22
asn=19057	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=19851	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 23
asn=19851	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=20268	id=3   	Node	send keepalive packet to=1
asn=20282	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=20282	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=20282	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=20645	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 24
asn=20645	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=21127	id=-1  	Main	360 seconds, progress 60.00%
asn=21127	id=-1  	Main	periodic route processing for all nodes
asn=21127	id=1   	TSCH	chloe stats: {"idle_listen":1858,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":17,"tx_data":29,"tx_data_rx_ack":2}
asn=21127	id=2   	TSCH	chloe stats: {"idle_listen":1924,"channel_scan":1,"rx_data":6,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":11}
asn=21127	id=3   	TSCH	chloe stats: {"idle_listen":1925,"channel_scan":1,"rx_data":5,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":10}
asn=21439	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 25
asn=21439	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=21821	id=1   	RPL	DIO output to -1
asn=21824	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 6
asn=21824	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=21824	id=2   	RPL	DIO input from 1
asn=21824	id=3   	RPL	DIO input from 1
asn=22233	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 26
asn=22233	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=23027	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 27
asn=23027	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=23353	id=3   	App	generate a packet, seqnum=3 for=1
asn=23359	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=23359	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 6
asn=23359	id=1   	App	rx app packet seqnum=3 from=3
asn=23359	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=23821	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 28
asn=23821	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=24648	id=-1  	Main	420 seconds, progress 70.00%
asn=24648	id=-1  	Main	periodic route processing for all nodes
asn=24648	id=1   	TSCH	chloe stats: {"idle_listen":2170,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":18,"tx_data":34,"tx_data_rx_ack":2}
asn=24648	id=2   	TSCH	chloe stats: {"idle_listen":2244,"channel_scan":1,"rx_data":7,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":11}
asn=24648	id=3   	TSCH	chloe stats: {"idle_listen":2247,"channel_scan":1,"rx_data":6,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":11}
asn=25012	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 29
asn=25012	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=25346	id=2   	Node	send keepalive packet to=1
asn=25348	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=25348	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 7
asn=25348	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=25409	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 30
asn=25409	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=26203	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 31
asn=26203	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=26881	id=3   	Node	send keepalive packet to=1
asn=26895	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=26895	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 6
asn=26895	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=27308	id=2   	App	generate a packet, seqnum=4 for=1
asn=27320	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=27320	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 7
asn=27320	id=1   	App	rx app packet seqnum=4 from=2
asn=27320	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=27394	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 32
asn=27394	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=28170	id=-1  	Main	480 seconds, progress 80.00%
asn=28170	id=-1  	Main	periodic route processing for all nodes
asn=28170	id=1   	TSCH	chloe stats: {"idle_listen":2481,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":21,"tx_data":38,"tx_data_rx_ack":2}
asn=28170	id=2   	TSCH	chloe stats: {"idle_listen":2565,"channel_scan":1,"rx_data":7,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":13}
asn=28170	id=3   	TSCH	chloe stats: {"idle_listen":2568,"channel_scan":1,"rx_data":6,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":12}
asn=28188	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 33
asn=28188	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=28982	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 34
asn=28982	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=29305	id=3   	App	generate a packet, seqnum=4 for=1
asn=29309	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=29309	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 6
asn=29309	id=1   	App	rx app packet seqnum=4 from=3
asn=29309	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=29776	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 35
asn=29776	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=30162	id=2   	App	generate a packet, seqnum=5 for=1
asn=30176	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=30176	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 7
asn=30176	id=1   	App	rx app packet seqnum=5 from=2
asn=30176	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=30570	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 36
asn=30570	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=31364	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 37
asn=31364	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=31691	id=-1  	Main	540 seconds, progress 90.00%
asn=31691	id=-1  	Main	periodic route processing for all nodes
asn=31691	id=1   	TSCH	chloe stats: {"idle_listen":2794,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":23,"tx_data":43,"tx_data_rx_ack":2}
asn=31691	id=2   	TSCH	chloe stats: {"idle_listen":2889,"channel_scan":1,"rx_data":7,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":14}
asn=31691	id=3   	TSCH	chloe stats: {"idle_listen":2890,"channel_scan":1,"rx_data":6,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":13}
asn=32158	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 38
asn=32158	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=32831	id=3   	Node	send keepalive packet to=1
asn=32845	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=32845	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 6
asn=32845	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=32952	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 39
asn=32952	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=33698	id=2   	Node	send keepalive packet to=1
asn=33712	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=33712	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 7
asn=33712	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=33746	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 40
asn=33746	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=34540	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 41
asn=34540	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=34819	id=3   	App	generate a packet, seqnum=5 for=1
asn=34834	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=34834	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 6
asn=34834	id=1   	App	rx app packet seqnum=5 from=3
asn=34834	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=35211	id=-1  	Main	ending simulation at 599.995 seconds
